product_name,price,og_price,product_link,img_url
2-pack Slim Fit Polo shirts,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1152563002.html,"https://lp2.hm.com/hmgoepprod?set=source[/14/c9/14c93950c527f694997f99d99e284dda03d5f6e2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Relaxed Fit Corduroy shirt,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1121046005.html,"https://lp2.hm.com/hmgoepprod?set=source[/a7/b2/a7b28fece540e9ad0ae8a3f0aa8c64ffc7823822.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sports jacket in DryMove™,3199.0,3999.0,https://www2.hm.com/en_in/productpage.1119366003.html,"https://lp2.hm.com/hmgoepprod?set=source[/dc/98/dc9858886cc6731b5418bd974883eeafffc2b15d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Linen-blend shorts,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1137701003.html,"https://lp2.hm.com/hmgoepprod?set=source[/fc/0c/fc0c8e32975a9357aa8fd66fa71acda530a2d7db.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Patterned resort shirt,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1136278002.html,"https://lp2.hm.com/hmgoepprod?set=source[/ff/69/ff69437b68eb4fa4ebdcf7d6bb5fb170a5e9e3c4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Embroidery-detail T-shirt,1039.0,1299.0,https://www2.hm.com/en_in/productpage.1147164001.html,"https://lp2.hm.com/hmgoepprod?set=source[/8e/70/8e706d9b0a7ff559a534763cc1b37eefa702b3a4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Lyocell shorts,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1150104003.html,"https://lp2.hm.com/hmgoepprod?set=source[/cd/b3/cdb36a888a280e98f49bd43f7eae63aedae2312d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Padded overshirt,2399.0,3999.0,https://www2.hm.com/en_in/productpage.1070735002.html,"https://lp2.hm.com/hmgoepprod?set=source[/97/7b/977b1262eaae478cef481c1e2cc8bcc979fb2b76.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
10-pack Regular Fit Round-neck T-shirts,3999.0,4999.0,https://www2.hm.com/en_in/productpage.0975620012.html,"https://lp2.hm.com/hmgoepprod?set=source[/fb/70/fb70a961c7efc5119acef79528568b6e5d52b026.jpg],origin[dam],category[men_tshirtstanks_multipacks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Regular Fit Linen-blend shirt,1599.0,1999.0,https://www2.hm.com/en_in/productpage.1134107010.html,"https://lp2.hm.com/hmgoepprod?set=source[/a2/80/a28057065274e1fa4d1b92ad560786022d7063c3.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Cotton shorts,849.0,999.0,https://www2.hm.com/en_in/productpage.1037593019.html,"https://lp2.hm.com/hmgoepprod?set=source[/dd/69/dd69826f5e84cb6bad5e40d4bd8c73bff07cc668.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Printed T-shirt,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1136298002.html,"https://lp2.hm.com/hmgoepprod?set=source[/67/6a/676abaddf0e3ee0217e6b4d7542770ad5830b459.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Wool-blend jumper,2399.0,2999.0,https://www2.hm.com/en_in/productpage.1099660001.html,"https://lp2.hm.com/hmgoepprod?set=source[/3e/b3/3eb36ef26a3db4b239bf32cc928bcc0102562e20.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Fleece sports jacket,3199.0,3999.0,https://www2.hm.com/en_in/productpage.1067836002.html,"https://lp2.hm.com/hmgoepprod?set=source[/f4/36/f436a42cd41cd6adf5e9553eada436ff3697a75b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Cotton T-shirt,639.0,799.0,https://www2.hm.com/en_in/productpage.1036524003.html,"https://lp2.hm.com/hmgoepprod?set=source[/5f/05/5f055387812edcd3b19bcc8d4a75f98424bad22b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
